short,LEI,vasicek_class,pd_pct,lgd_pct,vintage_date,ead_eur_m,note
bpce,FR9695005MSX1OYEMGDF,bank,2.80,39.19,2022-12-31,7708,
bpce,FR9695005MSX1OYEMGDF,bank,0.71,35.57,2023-12-31,6968,
bpce,FR9695005MSX1OYEMGDF,corporate,5.68,33.28,2024-12-31,115996,
bpce,FR9695005MSX1OYEMGDF,sme_corporate,10.69,26.23,2024-12-31,18358,
bpce,FR9695005MSX1OYEMGDF,mortgage,14.68,10.70,2024-12-31,307749,
bpce,FR9695005MSX1OYEMGDF,qrre,9.63,33.85,2024-12-31,27309,
bpce,FR9695005MSX1OYEMGDF,other_retail,21.55,28.88,2024-12-31,41742,
bpce,FR9695005MSX1OYEMGDF,bank,0.41,40.42,2024-12-31,8677,
bpce,FR9695005MSX1OYEMGDF,sovereign,0.00,7.26,2024-12-31,2523,
